id,state,year,totalPop,county,ir_cusfr,ir_irtot,ic_wfrto,ic_irtot,ig_cusfr,ig_irtot,li_wfrto,aq_wgwto,aq_wswto
Apache County2015,AZ,2015,71.47,Apache County,1.48,0.98,1.95,0.98,0,0,0.71,1.44,0
Cochise County2015,AZ,2015,126.43,Cochise County,174.65,106.84,216.14,106.29,1.74,0.55,0.68,0,0
Coconino County2015,AZ,2015,139.1,Coconino County,2.26,0.9,0.12,0.04,2.16,0.86,0.69,0.02,0
Gila County2015,AZ,2015,53.16,Gila County,2.78,0.93,1.58,0.52,1.52,0.41,0.13,4.26,0
Graham County2015,AZ,2015,37.67,Graham County,146.82,36.69,183.16,36.61,0.3,0.08,0.14,0,0
Greenlee County2015,AZ,2015,9.53,Greenlee County,7.52,2.7,9.28,2.67,0.1,0.03,0.1,0.02,1.32
La Paz County2015,AZ,2015,20.15,La Paz County,490.36,99.78,612.56,99.71,0.31,0.07,0.18,0,0
Maricopa County2015,AZ,2015,4167.95,Maricopa County,1006.24,244.22,1149.07,225.99,86.99,18.23,13.89,0,0
Mohave County2015,AZ,2015,204.74,Mohave County,91.91,23.52,109.17,22.53,4.56,0.99,0.28,0.35,0
Navajo County2015,AZ,2015,108.28,Navajo County,8.38,2.94,7.99,2.14,1.99,0.8,0.83,1.44,9.39
Pima County2015,AZ,2015,1010.03,Pima County,81.97,25.1,83.22,21.33,15.39,3.77,0.41,0,0
Pinal County2015,AZ,2015,406.58,Pinal County,750.25,238.41,924.93,236.15,10.31,2.26,16.74,0,0
Santa Cruz County2015,AZ,2015,46.46,Santa Cruz County,5.63,2.32,5.01,1.92,1.62,0.4,0.23,0,0
Yavapai County2015,AZ,2015,222.26,Yavapai County,25.23,6.59,27.42,5.33,3.29,1.26,0.5,16.28,0
Yuma County2015,AZ,2015,204.28,Yuma County,864.84,247.3,1075.17,246.41,4.7,0.89,3.36,0,0
Apache County2010,AZ,2010,71.52,Apache County,140.74,2.7,7.6,2.7,,0,0.61,5.94,0
Cochise County2010,AZ,2010,131.35,Cochise County,140.74,79.64,213.58,79.16,,0.48,0.7,0,0
Coconino County2010,AZ,2010,134.42,Coconino County,140.74,0.8,0.13,0.04,,0.76,0.6,6.88,0
Gila County2010,AZ,2010,53.6,Gila County,140.74,0.83,1.17,0.42,,0.41,0.11,4.83,0
Graham County2010,AZ,2010,37.22,Graham County,140.74,38,166.16,37.92,,0.08,0.12,0,1.5
Greenlee County2010,AZ,2010,8.44,Greenlee County,140.74,4.08,14.76,4.08,,0,0.11,0,5.59
La Paz County2010,AZ,2010,20.49,La Paz County,140.74,100.58,663.95,100.51,,0.07,0.12,0,0
Maricopa County2010,AZ,2010,3817.35,Maricopa County,140.74,205.9,1012.45,187.79,,18.11,8.62,0,0
Mohave County2010,AZ,2010,200.21,Mohave County,140.74,15.38,70.49,14.4,,0.98,0.22,0.05,0.68
Navajo County2010,AZ,2010,107.45,Navajo County,140.74,6.16,14.21,5.46,,0.7,0.79,5.04,0
Pima County2010,AZ,2010,980.26,Pima County,140.74,25.1,89.5,21.33,,3.77,0.27,0,0
Pinal County2010,AZ,2010,375.83,Pinal County,140.74,257.98,1045.52,256.01,,1.97,10.26,0,0
Santa Cruz County2010,AZ,2010,47.42,Santa Cruz County,140.74,2.28,8.84,1.92,,0.36,0.16,0,0
Yavapai County2010,AZ,2010,211.03,Yavapai County,140.74,6.44,26.88,5.33,,1.11,0.57,16.77,0
Yuma County2010,AZ,2010,195.75,Yuma County,140.74,247.29,1117.97,246.41,,0.88,3.7,0,0
Apache County2005,AZ,2005,69.34,Apache County,140.74,2.34,,,,0,1.36,1.6,3.68
Cochise County2005,AZ,2005,126.11,Cochise County,140.74,56.99,,,,0,1.36,1.6,3.68
Coconino County2005,AZ,2005,123.87,Coconino County,140.74,0.76,,,,0,1.36,1.6,3.68
Gila County2005,AZ,2005,51.66,Gila County,140.74,0.64,,,,0,1.36,1.6,3.68
Graham County2005,AZ,2005,33.07,Graham County,140.74,39.21,,,,0,1.36,1.6,3.68
Greenlee County2005,AZ,2005,7.52,Greenlee County,140.74,3.07,,,,0,1.36,1.6,3.68
La Paz County2005,AZ,2005,20.24,La Paz County,140.74,93.71,,,,0,1.36,1.6,3.68
Maricopa County2005,AZ,2005,3635.53,Maricopa County,140.74,217.19,,,,0,1.36,1.6,3.68
Mohave County2005,AZ,2005,187.2,Mohave County,140.74,14.87,,,,0,1.36,1.6,3.68
Navajo County2005,AZ,2005,108.43,Navajo County,140.74,5.63,,,,0,1.36,1.6,3.68
Pima County2005,AZ,2005,924.79,Pima County,140.74,27.08,,,,0,1.36,1.6,3.68
Pinal County2005,AZ,2005,229.55,Pinal County,140.74,221.04,,,,0,1.36,1.6,3.68
Santa Cruz County2005,AZ,2005,42.01,Santa Cruz County,140.74,1.76,,,,0,1.36,1.6,3.68
Yavapai County2005,AZ,2005,198.7,Yavapai County,140.74,8.65,,,,0,1.36,1.6,3.68
Yuma County2005,AZ,2005,181.28,Yuma County,140.74,256.3,,,,0,1.36,1.6,3.68
Apache County2000,AZ,2000,69.42,Apache County,140.74,5.72,,,,,1.36,1.6,3.68
Cochise County2000,AZ,2000,117.76,Cochise County,140.74,57.39,,,,,1.36,1.6,3.68
Coconino County2000,AZ,2000,116.32,Coconino County,140.74,2.34,,,,,1.36,1.6,3.68
Gila County2000,AZ,2000,51.34,Gila County,140.74,1.28,,,,,1.36,1.6,3.68
Graham County2000,AZ,2000,33.49,Graham County,140.74,39.07,,,,,1.36,1.6,3.68
Greenlee County2000,AZ,2000,8.55,Greenlee County,140.74,3.31,,,,,1.36,1.6,3.68
La Paz County2000,AZ,2000,19.72,La Paz County,140.74,102.77,,,,,1.36,1.6,3.68
Maricopa County2000,AZ,2000,3072.15,Maricopa County,140.74,263.03,,,,,1.36,1.6,3.68
Mohave County2000,AZ,2000,155.03,Mohave County,140.74,15.7,,,,,1.36,1.6,3.68
Navajo County2000,AZ,2000,97.47,Navajo County,140.74,5.08,,,,,1.36,1.6,3.68
Pima County2000,AZ,2000,843.75,Pima County,140.74,26.37,,,,,1.36,1.6,3.68
Pinal County2000,AZ,2000,179.73,Pinal County,140.74,198.8,,,,,1.36,1.6,3.68
Santa Cruz County2000,AZ,2000,38.38,Santa Cruz County,140.74,2.23,,,,,1.36,1.6,3.68
Yavapai County2000,AZ,2000,167.52,Yavapai County,140.74,8.92,,,,,1.36,1.6,3.68
Yuma County2000,AZ,2000,160.03,Yuma County,140.74,243.91,,,,,1.36,1.6,3.68
