state,year,county,mi_wgwto,mi_wtotl
AZ,2015,Apache County,0,0
AZ,2015,Cochise County,0.02,0.02
AZ,2015,Coconino County,0.02,0.02
AZ,2015,Gila County,13,13
AZ,2015,Graham County,2.16,2.16
AZ,2015,Greenlee County,5.22,5.22
AZ,2015,La Paz County,0,0
AZ,2015,Maricopa County,3.5,3.5
AZ,2015,Mohave County,0.22,0.22
AZ,2015,Navajo County,1.42,1.42
AZ,2015,Pima County,25.58,25.58
AZ,2015,Pinal County,2.08,2.08
AZ,2015,Santa Cruz County,0.25,0.25
AZ,2015,Yavapai County,14.79,14.79
AZ,2015,Yuma County,0.08,0.08
AZ,2010,Apache County,0,0
AZ,2010,Cochise County,0.03,0.03
AZ,2010,Coconino County,0.01,0.01
AZ,2010,Gila County,19.88,19.88
AZ,2010,Graham County,2.23,2.23
AZ,2010,Greenlee County,3.38,3.38
AZ,2010,La Paz County,0,0
AZ,2010,Maricopa County,7.91,7.91
AZ,2010,Mohave County,0.01,0.01
AZ,2010,Navajo County,1.05,1.05
AZ,2010,Pima County,31.92,31.92
AZ,2010,Pinal County,1.36,1.36
AZ,2010,Santa Cruz County,0.14,0.14
AZ,2010,Yavapai County,18.58,18.58
AZ,2010,Yuma County,0.11,0.11
AZ,2005,Apache County,0.02,0.02
AZ,2005,Cochise County,0.18,0.18
AZ,2005,Coconino County,0.08,0.08
AZ,2005,Gila County,18.42,18.47
AZ,2005,Graham County,0.17,0.17
AZ,2005,Greenlee County,7.25,15.89
AZ,2005,La Paz County,0.27,0.27
AZ,2005,Maricopa County,6.89,7.01
AZ,2005,Mohave County,0.2,0.2
AZ,2005,Navajo County,4.26,4.26
AZ,2005,Pima County,34.66,34.66
AZ,2005,Pinal County,3.7,3.94
AZ,2005,Santa Cruz County,0.11,0.11
AZ,2005,Yavapai County,17.25,17.25
AZ,2005,Yuma County,0.7,0.7
AZ,2000,Apache County,0.01,0.01
AZ,2000,Cochise County,0.26,0.26
AZ,2000,Coconino County,0.01,0.01
AZ,2000,Gila County,1.91,2.12
AZ,2000,Graham County,0.17,0.17
AZ,2000,Greenlee County,14.76,18.92
AZ,2000,La Paz County,0,0
AZ,2000,Maricopa County,8.76,8.81
AZ,2000,Mohave County,0.43,0.43
AZ,2000,Navajo County,4.35,4.35
AZ,2000,Pima County,35.95,35.95
AZ,2000,Pinal County,2.93,2.94
AZ,2000,Santa Cruz County,0.02,0.02
AZ,2000,Yavapai County,19.72,19.72
AZ,2000,Yuma County,0.14,0.14
AZ,1995,Apache County,0,0
AZ,1995,Cochise County,0.27,0.27
AZ,1995,Coconino County,0,0
AZ,1995,Gila County,8.15,22.32
AZ,1995,Graham County,0,0
AZ,1995,Greenlee County,12.28,23.78
AZ,1995,La Paz County,0,0
AZ,1995,Maricopa County,4.47,4.47
AZ,1995,Mohave County,19.75,19.75
AZ,1995,Navajo County,4.37,4.4
AZ,1995,Pima County,35.39,36.5
AZ,1995,Pinal County,21.87,22.04
AZ,1995,Santa Cruz County,0.12,0.37
AZ,1995,Yavapai County,24.39,24.4
AZ,1995,Yuma County,0,0
AZ,1990,Apache County,3.49,4.6
AZ,1990,Cochise County,3.49,4.6
