state,year,county,pt_wgwto,pt_wswto,pt_wtotl,pt_cutot,po_wgwto,po_wswto,po_wtotl,po_cutot,pc_wgwto,pc_wswto,pc_wtotl,pc_cutot
AZ,2015,Apache County,19.74,0,19.74,18.87,0,0,0,0,19.74,0,19.74,18.87
AZ,2015,Cochise County,3.52,0,3.52,3.52,0,0,0,0,3.52,0,3.52,3.52
AZ,2015,Coconino County,0,17.03,17.03,17.03,0,0,0,0,0,17.03,17.03,17.03
AZ,2015,Gila County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,Graham County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,Greenlee County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,La Paz County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,Maricopa County,18.73,5.35,24.08,88.01,0,0,0,0,18.73,5.35,24.08,88.01
AZ,2015,Mohave County,1.6,1.66,3.26,3.26,0,0,0,0,1.6,1.66,3.26,3.26
AZ,2015,Navajo County,12,0,12,12,0,0,0,0,12,0,12,12
AZ,2015,Pima County,1.81,0,1.81,1.81,0,0,0,0,1.81,0,1.81,1.81
AZ,2015,Pinal County,0.03,1.42,1.45,1.87,0,0,0,0,0.03,1.42,1.45,1.87
AZ,2015,Santa Cruz County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,Yavapai County,0,0,0,0,0,0,0,0,0,0,0,0
AZ,2015,Yuma County,0.28,0.29,0.57,0.63,0,0,0,0,0.28,0.29,0.57,0.63
AZ,2010,Apache County,27.53,0,27.53,1.53,0,0,0,0,27.53,0,27.53,1.78
AZ,2010,Cochise County,4.43,0,4.43,1.53,0,0,0,0,4.43,0,4.43,1.78
AZ,2010,Coconino County,0,21.38,21.38,1.53,0,0,0,0,0,21.38,21.38,1.78
AZ,2010,Gila County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,Graham County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,Greenlee County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,La Paz County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,Maricopa County,25.19,4.08,29.27,1.53,0,0,0,0,25.19,4.08,29.27,1.78
AZ,2010,Mohave County,2.92,0,2.92,1.53,0,0,0,0,2.92,0,2.92,1.78
AZ,2010,Navajo County,15.16,0,15.16,1.53,0,0,0,0,15.16,0,15.16,1.78
AZ,2010,Pima County,1.91,0,1.91,1.53,0,0,0,0,1.91,0,1.91,1.78
AZ,2010,Pinal County,0.14,0.97,1.11,1.53,0,0,0,0,0.14,0.97,1.11,1.78
AZ,2010,Santa Cruz County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,Yavapai County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2010,Yuma County,0,0.71,0.71,1.53,0,0,0,0,0,0.71,0.71,1.78
AZ,2005,Apache County,18.12,0,18.12,1.53,0,0,0,0,18.12,0,18.12,1.78
AZ,2005,Cochise County,5.13,0,5.13,1.53,5.13,0,5.13,0,0,0,0,1.78
AZ,2005,Coconino County,0,23.39,23.39,1.53,0,0,0,0,0,23.39,23.39,1.78
AZ,2005,Gila County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,Graham County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,Greenlee County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,La Paz County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,Maricopa County,8.98,14.6,23.58,1.53,0,0,0,0,8.98,14.6,23.58,1.78
AZ,2005,Mohave County,0.78,0,0.78,1.53,0,0,0,0,0.78,0,0.78,1.78
AZ,2005,Navajo County,14.6,0,14.6,1.53,0,0,0,0,14.6,0,14.6,1.78
AZ,2005,Pima County,2.62,0,2.62,1.53,0,0,0,0,2.62,0,2.62,1.78
AZ,2005,Pinal County,0.23,1.15,1.38,1.53,0,0,0,0,0.23,1.15,1.38,1.78
AZ,2005,Santa Cruz County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,Yavapai County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
AZ,2005,Yuma County,0,0.31,0.31,1.53,0,0,0,0,0,0.31,0.31,1.78
AZ,2000,Apache County,0.77,0,15.96,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Cochise County,0.77,0,5.36,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Coconino County,0.77,25.66,25.66,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Gila County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Graham County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Greenlee County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,La Paz County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Maricopa County,0.77,0,36.08,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Mohave County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Navajo County,0.77,0,13.12,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Pima County,0.77,0,2.91,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Pinal County,0.77,0,0.84,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Santa Cruz County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Yavapai County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,2000,Yuma County,0.77,0.52,0.52,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Apache County,14.89,0,14.89,14.89,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Cochise County,5.11,0,5.11,5.11,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Coconino County,0,19.8,19.8,19.8,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Gila County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Graham County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Greenlee County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,La Paz County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Maricopa County,10.5,0,10.5,2.78,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Mohave County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Navajo County,9.43,0,9.43,9.43,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Pima County,1.17,0,1.17,1.17,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Pinal County,0.31,0,0.31,0.31,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Santa Cruz County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Yavapai County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1995,Yuma County,0.29,0,0.29,0.29,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Apache County,0.77,0,18.42,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Cochise County,0.77,0,5.84,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Coconino County,0.77,18.46,18.46,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Gila County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Graham County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Greenlee County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,La Paz County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Maricopa County,0.77,42.85,46.21,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Mohave County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Navajo County,0.77,0,12.29,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Pima County,0.77,0,1.86,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Pinal County,0.77,0,0.11,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Santa Cruz County,0.77,0,0.04,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Yavapai County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1990,Yuma County,0.77,0.42,0.42,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Apache County,0.77,0,6.18,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Cochise County,0.77,0,3.07,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Coconino County,0.77,20.73,20.73,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Gila County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Graham County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Greenlee County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,La Paz County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Maricopa County,0.77,4.61,12.24,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Mohave County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Navajo County,0.77,0,12.07,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Pima County,0.77,0,1.17,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Pinal County,0.77,0,1.27,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Santa Cruz County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Yavapai County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
AZ,1985,Yuma County,0.77,0,0.45,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Alameda County,0,0,0,1.4,0,0,0,0,0,0,0,1.4
