state,year,county,to_wgwto,to_wswto,to_wtotl,to_cutotpartial
AZ,2015,Apache County,29.77,1.83,31.6,20.35
AZ,2015,Cochise County,240.85,0,240.85,178.17
AZ,2015,Coconino County,18.29,20.68,38.97,19.29
AZ,2015,Gila County,25.08,1.1,26.18,2.78
AZ,2015,Graham County,113.76,76.79,190.55,146.82
AZ,2015,Greenlee County,13.25,4.62,17.87,7.52
AZ,2015,La Paz County,80.71,535.88,616.59,490.36
AZ,2015,Maricopa County,1186.7,871.49,2058.19,1094.25
AZ,2015,Mohave County,102.28,62.37,164.65,95.17
AZ,2015,Navajo County,37.65,13.72,51.37,20.38
AZ,2015,Pima County,268.02,32.03,300.05,83.78
AZ,2015,Pinal County,435.18,585.43,1020.61,752.12
AZ,2015,Santa Cruz County,13.22,0,13.22,5.63
AZ,2015,Yavapai County,68.54,18.65,87.19,25.23
AZ,2015,Yuma County,125.71,995.74,1121.45,865.47
AZ,2010,Apache County,41.94,7.02,48.96,119.75
AZ,2010,Cochise County,238.37,0.03,238.4,119.75
AZ,2010,Coconino County,21.51,30.67,52.18,119.75
AZ,2010,Gila County,34.24,0.45,34.69,119.75
AZ,2010,Graham County,95.78,80.43,176.21,119.75
AZ,2010,Greenlee County,12.93,12.96,25.89,119.75
AZ,2010,La Paz County,55.78,613.06,668.84,119.75
AZ,2010,Maricopa County,1063.8,889.78,1953.58,119.75
AZ,2010,Mohave County,67.4,53.76,121.16,119.75
AZ,2010,Navajo County,53.76,7.9,61.66,119.75
AZ,2010,Pima County,269.5,35.93,305.43,119.75
AZ,2010,Pinal County,320.63,809.45,1130.08,119.75
AZ,2010,Santa Cruz County,17.44,0,17.44,119.75
AZ,2010,Yavapai County,73.33,18.96,92.29,119.75
AZ,2010,Yuma County,183.01,978.34,1161.35,119.75
AZ,2005,Apache County,26.69,8.55,35.24,119.75
AZ,2005,Cochise County,249.64,4.78,254.42,119.75
AZ,2005,Coconino County,17.85,30.14,47.99,119.75
AZ,2005,Gila County,27.4,0.63,28.03,119.75
AZ,2005,Graham County,74.8,98.12,172.92,119.75
AZ,2005,Greenlee County,15.53,16.02,31.55,119.75
AZ,2005,La Paz County,79.99,548.5,628.49,119.75
AZ,2005,Maricopa County,1184.12,782.87,1966.99,119.75
AZ,2005,Mohave County,71.91,66.73,138.64,119.75
AZ,2005,Navajo County,58.57,8.91,67.48,119.75
AZ,2005,Pima County,286.35,20.41,306.76,119.75
AZ,2005,Pinal County,699.13,590.06,1289.19,119.75
AZ,2005,Santa Cruz County,19.38,0,19.38,119.75
AZ,2005,Yavapai County,60.84,30.66,91.5,119.75
AZ,2005,Yuma County,174.26,991.86,1166.12,119.75
AZ,2000,Apache County,27.19,20.44,47.63,119.75
AZ,2000,Cochise County,231.31,1.96,233.27,119.75
AZ,2000,Coconino County,22.57,30.11,52.68,119.75
AZ,2000,Gila County,13.27,1.51,14.78,119.75
AZ,2000,Graham County,128.3,43.91,172.21,119.75
AZ,2000,Greenlee County,25.16,8.18,33.34,119.75
AZ,2000,La Paz County,289.39,589.62,879.01,119.75
AZ,2000,Maricopa County,1219.82,931.55,2151.37,119.75
AZ,2000,Mohave County,118.16,35.5,153.66,119.75
AZ,2000,Navajo County,68.62,1.34,69.96,119.75
AZ,2000,Pima County,283.83,16.55,300.38,119.75
AZ,2000,Pinal County,545.06,507.38,1052.44,119.75
AZ,2000,Santa Cruz County,21.77,0.89,22.66,119.75
AZ,2000,Yavapai County,70.85,11.55,82.4,119.75
AZ,2000,Yuma County,364.22,1099.14,1463.36,119.75
AZ,1995,Apache County,24.67,14.36,39.03,119.75
AZ,1995,Cochise County,227.76,6.2,233.96,119.75
AZ,1995,Coconino County,21.52,25.8,47.32,119.75
AZ,1995,Gila County,24.37,18.51,42.88,119.75
AZ,1995,Graham County,77.78,98.58,176.36,119.75
AZ,1995,Greenlee County,22.17,21.48,43.65,119.75
AZ,1995,La Paz County,21.41,607.18,628.59,119.75
AZ,1995,Maricopa County,1031.93,1360.11,2392.04,119.75
AZ,1995,Mohave County,138.27,2.05,140.32,119.75
AZ,1995,Navajo County,62.66,0.99,63.65,119.75
AZ,1995,Pima County,227.37,36.39,263.76,119.75
AZ,1995,Pinal County,499.84,762.33,1262.17,119.75
AZ,1995,Santa Cruz County,15.12,0.25,15.37,119.75
AZ,1995,Yavapai County,58.96,23.43,82.39,119.75
AZ,1995,Yuma County,390.92,1007.66,1398.58,119.75
AZ,1990,Apache County,99.93,226.54,326.46,119.75
AZ,1990,Cochise County,99.93,226.54,326.46,119.75
AZ,1990,Coconino County,99.93,226.54,326.46,119.75
AZ,1990,Gila County,99.93,226.54,326.46,119.75
AZ,1990,Graham County,99.93,226.54,326.46,119.75
AZ,1990,Greenlee County,99.93,226.54,326.46,119.75
AZ,1990,La Paz County,99.93,226.54,326.46,119.75
AZ,1990,Maricopa County,99.93,226.54,326.46,119.75
AZ,1990,Mohave County,99.93,226.54,326.46,119.75
AZ,1990,Navajo County,99.93,226.54,326.46,119.75
AZ,1990,Pima County,99.93,226.54,326.46,119.75
AZ,1990,Pinal County,99.93,226.54,326.46,119.75
AZ,1990,Santa Cruz County,99.93,226.54,326.46,119.75
AZ,1990,Yavapai County,99.93,226.54,326.46,119.75
AZ,1990,Yuma County,99.93,226.54,326.46,119.75
AZ,1985,Apache County,99.93,226.54,326.46,119.75
AZ,1985,Cochise County,99.93,226.54,326.46,119.75
AZ,1985,Coconino County,99.93,226.54,326.46,119.75
AZ,1985,Gila County,99.93,226.54,326.46,119.75
AZ,1985,Graham County,99.93,226.54,326.46,119.75
AZ,1985,Greenlee County,99.93,226.54,326.46,119.75
AZ,1985,La Paz County,99.93,226.54,326.46,119.75
AZ,1985,Maricopa County,99.93,226.54,326.46,119.75
AZ,1985,Mohave County,99.93,226.54,326.46,119.75
AZ,1985,Navajo County,99.93,226.54,326.46,119.75
AZ,1985,Pima County,99.93,226.54,326.46,119.75
AZ,1985,Pinal County,99.93,226.54,326.46,119.75
AZ,1985,Santa Cruz County,99.93,226.54,326.46,119.75
AZ,1985,Yavapai County,99.93,226.54,326.46,119.75
AZ,1985,Yuma County,99.93,226.54,326.46,119.75
